item;price;unit price
15 fishsticks 450g;2.99;6.64 /KG
After diner 10x35ml;3.69;10.54 /L
Almond 4x120ml;3.15;6.56 /L
Apfelstrudel in blaetterteig 600g;2.0;3.33 /KG
Ardo champignons mélange forestier   600g;4.79;7.98 /KG
Bami goreng 500g;4.08;8.16 /KG
Bâtonnets glace vanille  6x80ml;5.65;11.77 /L
Bâtonnets glace vanille 6x80ml;3.98;8.29 /L
Bengal star dos de cabillaud 140/160;13.9;13.90 /KG
BIO Frites 12/12 1KG;3.22;3.22 /KG
BIO petits poids  500g;2.49;4.98 /KG
Bistro baguette salami   250g;1.6;6.40 /KG
Blattspinat 1kg;1.95;1.95 /KG
Blumenkohl 1kg;2.09;2.09 /KG
Broccoli 1kg;2.58;2.58 /KG
Bûche festive vanille/mocca 1l;3.79;3.79 /L
Calamars alla romana 500g;2.99;5.98 /KG
Charal extra moelleux 1kg;9.29;9.29 /KG
Charal spécial oignon 10x100g;6.35;6.35 /KG
Chicken nuggets 250g;2.79;11.16 /KG
Classic 4x120ml;3.15;6.56 /L
Cocktail fruits de mer 500g;3.7;7.40 /KG
Coquille St Jacques 2x110g;5.15;23.41 /KG
Cornet fraise   6x120ml;5.95;8.26 /L
Cornet vanille   6x120ml;5.95;8.26 /L
Cornet vanille-mocca 6x120ml;5.95;8.26 /L
Cornets glace vanille 6x120ml;4.99;6.93 /L
Cornetto enigma van/choc 6x90ml;3.59;6.65 /L
Cornetto miniature van/choc 336ml;4.96;14.76 /L
Costa frutti di mare gekocht 1kg;13.5;13.50 /KG
Country potatoes 600g;2.38;3.97 /KG
Crème glacée caramel 1l;2.69;2.69 /L
Crème glacée choco blanc 1l;2.89;2.89 /L
Crème glacée chocolat 1l;2.58;2.58 /L
Crème glacée chocolat 2l;4.54;2.27 /L
Crème glacée cookies&cream   500ml;4.99;9.98 /L
Crème glacée dame blanche 1l;2.58;2.58 /L
Crème glacée dame blanche 2l;4.54;2.27 /L
Crème glacée favorite selection   4x100ml;5.85;14.63 /L
Crème glacée fraise 1l;2.58;2.58 /L
Crème glacée fraise 2l;4.54;2.27 /L
Crème glacée mocca 1l;2.58;2.58 /L
Crème glacée mocca 2l;4.54;2.27 /L
Crème glacee noix de coco 1l;2.89;2.89 /L
Crème glacée noix de pecan 1l;2.89;2.89 /L
Crème glacée pistache 1l;2.58;2.58 /L
Crème glacée vanilla   500ml;4.99;9.98 /L
Crème glacée vanille   2l;4.54;2.27 /L
Crème glacée vanille 1l;2.58;2.58 /L
Crêpes crevettes 5/300g;3.39;11.30 /KG
Crêpes jambon/fromage 255g;3.39;13.29 /KG
Crevette déco cuite 3/500 500g;3.98;7.96 /KG
Dame blanche 6x140ml;5.7;6.79 /L
Darnes sebaste à bouillir 1kg;9.5;9.50 /KG
Delibohnen 1kg;2.12;2.12 /KG
Dr Oetker Pizza hawai   350g;2.69;7.69 /KG
Dr Oetker Pizza mozzarella   325g;2.69;8.28 /KG
Dr Oetker Pizza proscuitto   330g;2.69;8.15 /KG
Dr Oetker Pizza Salami  320g;2.69;8.41 /KG
Dr Oetker Pizza spéciale   330g;2.69;8.15 /KG
Dr Oetker Pizza tonno   355g;2.69;7.58 /KG
Epinards crème 450g;1.59;3.53 /KG
Epinards hachés en portions  1kg;1.79;1.79 /KG
Ervilhas 400g;1.85;4.63 /KG
Escargots lucorum   belle grosseur   12pièces - 89g;3.89;43.71 /KG
Favas 500g;1.99;3.98 /KG
