symbol,market cap,employees
SPLS,10740000000,52919
SPCHB,25830000,3100
WAVX,159200000,129
BSX,8710000000,24000
SPMD,45480000,3400
LOOK,25760000,52
AMWD,200050000,3693
CSKI,18630000,297
JVA,52440000,69
ARG,6280000000,14000
UCBA,43310000,95
USCR,52750000,1983
ATPG,440190000,64
LOPE,749110000,2739
FALC,126580000,488
CVVT,84880000,2000
ERIC,31590000000,104525
MLVF,45700000,85
ERIE,4099999999,4200
SHOR,273580000,634
ERII,115820000,73
PTRY,279360000,6246
TECUB,89070000,8600
SPNS,119570000,361
F,48350000000,164000
TECUA,87410000,8600
OXBT,72600000,20
CSII,157880000,286
A,15210000000,18700
L,15420000000,18250
CSIQ,161400000,8733
GFN,58110000,418
MDVN,2330000000,114
RYAAY,9890000000,8500
GTAT,990250000,622
HTCH,50070000,2317
V,78180000000,7500
CNYD,36950000,385
FEIM,67040000,350
SHLM,743280000,3000
SHLO,147220000,1273
WAYN,22950000,96
HTCO,138740000,463
WEYS,246790000,562
SENEB,279990000,3000
CCCL,64620000,1703
SENEA,274480000,3000
PTSX,10510000,250
ATI,4660000000,11400
USEG,89460000,19
OCZ,442890000,422
JXSB,28000000,95
ATNI,539340000,1765
UNAM,61180000,87
LORL,2270000000,2900
JST,138400000,9
PKOH,214710000,3200
AMTD,10210000000,5494
ATNY,202990000,2140
ROST,12320000000,14000
DDIC,222160000,1627
OKE,8600000000,4795
AMRN,1080000000,16
OSIR,154610000,56
ATSG,345970000,1790
TMNG,17950000,244
OSIS,1170000000,3700
AMSF,429540000,423
AMSC,204830000,848
ECYT,124730000,55
VSCI,75290000,112
MDTH,157480000,272
JDSU,3080000000,5000
PFSW,36250000,1100
FWRD,965570000,1955
TYC,23810000000,102000
UCFC,44020000,557
TXT,7560000000,32000
BWA,9320000000,19250
CKEC,99970000,615
GIS,24620000000,35000
SDIX,41190000,150
DMND,546590000,1797
AMPL,16550000,2666
USBI,36870000,297
AMPE,112320000,12
VSAT,1950000000,2200
TWX,36010000000,34000
TAYD,35240000,89
XTEX,872300000,469
TWC,24800000000,47300
CNTY,68310000,876
FSBI,33740000,132
RSOL,26800000,263
MDSO,514429999,598
BRCM,19720000000,9590
CSFL,199460000,602
CNSL,566870000,970
ATRC,158900000,220
SPIR,9870000,188
BRCD,2610000000,4542
FINL,1230000000,3200
BFED,82180000,136
TAXI,190180000,122
ISSI,280440000,469
DMLP,798780000,27
CNTF,85220000,471
MIDD,1760000000,2060
FSCI,251630000,828
AMOV,92270000000,159024
USAT,32650000,42
FNSR,1790000000,8065
MEAS,490420000,2923
ISRL,200510000,29
FACE,40820000,147
JACK,1010000000,25700
AMNB,165100000,315
ISSC,69570000,117
HZNP,67180000,133
AMSWA,246810000,320
CSCO,106430000000,71825
VRTX,8570000000,2000
SPTN,401190000,4100
LRAD,46290000,39
ROIA,53270000,867
PATR,205360000,802
TIBB,134480000,375
PATH,44640000,26
BRID,79780000,517
COCO,359950000,11150
PTIX,25570000,168
RCKB,318880000,281
ATHN,2510000000,1795
HTHT,943620000,7801
ISRG,20340000000,1924
KMGB,196970000,336
AZO,14740000000,37050
JADE,72910000,2600
RGLD,4150000000,21
POZN,128930000,29
XOMA,52620000,240
PTIE,162820000,10
ATEC,165220000,460
COBK,47540000,93
APFC,57910000,653
ROLL,985480000,1950
VRTB,17550000,11
HBIO,113140000,368
POWR,108290000,390
VRTU,376750000,5530
POWL,387780000,2722
AMLN,2520000000,1300
ATEA,16520000,175
UNIS,256399999,129
WINN,536150000,20680
DIAL,12210000,414
VVUS,1920000000,43
TBET,24490000,190
ONTY,358530000,25
WINA,284800000,100
KFFG,124540000,110
APEI,682710000,2170
XBKS,36770000,72
VRSK,6970000000,4706
VVTV,81570000,760
MEAD,4310000,155
LRCX,4920000000,3700
BMTI,58360000,95
EDGW,40490000,380
KFFB,71550000,37
CSBK,249760000,89
EDGR,25010000,143
BRLI,626060000,2438
CAG,10780000000,23200
CAH,14190000000,31900
HBHC,2860000000,4745
ISNS,30890000,123
WSTL,150090000,365
NEWL,6580000,72
NEWS,461930000,88
OCC,22070000,340
TFCO,12970000,301
NEWT,47140000,280
CAR,1340000000,28000
IGLD,146590000,67
SPPR,23700000,16
GAS,4620000000,6400
SPPI,748500000,139
ROMA,291080000,310
GAI,17290000,4216
NEXS,19410000,33
EDAP,28730000,151
EZPW,1580000000,5600
APKT,2060000000,752
SLAB,1830000000,908
CWCO,115760000,113
AMIC,37930000,52
HTLF,246110000,1195
EDAC,52370000,384
ONSM,8220000,94
RCON,3000000,77
ISLE,248320000,8600
CCL,23750000000,91300
DMED,4690000,70
OSTK,142220000,1500
IGOI,24260000,62
GEVO,212430000,91
PAYX,11340000000,12400
TIBX,4770000000,2965
PTNR,1150000000,6068
PTNT,50300000,70
ATHX,49710000,44
SPRO,9650000,108
CBG,5990000000,34000
BAC,87250000000,282000
TBAC,12590000,516
CBE,9520000000,25786
ASCMA,679950000,1330
SPCHA,19720000,3100
UNFI,2180000000,6900
SPRD,663270000,917
GCI,3450000000,31000
BRKS,742540000,1433
DUCK,32890000,3460
RGCO,83390000,119
COKE,591640000,5200
UNTK,64390000,3300
IMKTA,421860000,7840
BBY,8520000000,180000
UNTY,47220000,171
VRML,19910000,26
HOOK,114760000,423
PLCC,5190000,63
URRE,91190000,40
PLCE,1290000000,4800
APOG,353120000,3555
CCRT,131009999,1623
APOL,5290000000,56470
TLF,52810000,364
TMO,21380000000,39000
FRP,99550000,4032
GNTX,3500000000,3481
HSOL,135450000,10241
APPY,6190000,34
VRNM,43510000,89
WAFD,1740000000,1241
NWPX,211920000,1200
FRX,8620000000,5600
TIII,22020000,75
HARL,61620000,85
WTSLA,303630000,2047
NILE,488890000,206
FIZZ,720960000,1200
BDX,16110000000,29369
TIGR,64780000,87
AMCC,416560000,672
PHIIK,358890000,2222
AMCF,32930000,142
BIOD,24000000,36
BIOF,78840000,149
PLAB,403760000,1350
AMCN,192180000,737
GNVC,34340000,83
UBNT,2390000000,118
BDE,187380000,475
LOAN,4840000,3
ITIC,94680000,185
ACN,38570000000,244000
ABT,90240000000,91000
FTR,4520000000,15400
BFB,11510000000,3700
NWSA,49010000000,51000
ABC,9430000000,9400
BIOS,371730000,2281
VIMC,55320000,950
BEN,25500000000,8500
CVCO,293510000,1250
SGYP,215470000,8
XYL,4910000000,11700
AEY,23880000,126
PTEK,5450000,32
PTEN,2990000000,8200
NEPT,157010000,80
AET,16320000000,33300
GNOM,132729999,247
BERK,102830000,116
AMAP,641660000,2162
TAIT,5760000,37
THC,2460000000,43020
ZIGO,331540000,537
AMAT,15780000000,12973
AHPI,28110000,313
AMAG,339020000,226
COGO,66220000,560
MVIS,42270000,108
CCNE,184980000,297
TIE,2470000000,2385
TIF,8570000000,9200
YTEC,48890000,2600
NWLI,485680000,292
ADP,26710000000,51000
XTXI,647410000,469
ADM,20930000000,30700
ADI,11510000000,9200
NEOG,795180000,654
COHR,1300000000,2309
CCMP,791380000,1025
CFFN,1890000000,593
TFM,2150000000,4600
CSWC,351000000,11
CVGW,398790000,1509
HGSH,35320000,87
CFFC,13390000,162
MDCI,84240000,1289
BEST,14050000,510
AGN,27150000000,10000
CZWI,29510000,185
SCVL,345740000,1800
PFBI,51190000,354
VRNT,1080000000,3100
TER,2960000000,3200
WWIN,90170000,4581
BNSO,6190000,1487
IOSP,687490000,850
RGDX,38680000,87
UBSH,351760000,1045
UBSI,1500000000,1619
WPPGY,8160000000,110357
KEQU,20920000,598
TGA,846360000,62
RGEN,144050000,66
CSUN,34300000,3599
NINE,48550000,299
HALO,1170000000,102
HALL,127520000,351
APRI,70850000,35
HOTT,372620000,2400
PLFE,300180000,108
FSRV,957480000,20000
BIG,2800000000,13000
EDMC,2109999999,14500
PBSK,35550000,56
BITS,57750000,144
ROYL,69950000,22
BNHN,187120000,6700
DLLR,778400000,5375
CSTR,1860000000,2676
HOGS,402410000,7226
COSI,51200000,2038
COST,37500000000,92000
LOGI,1450000000,11000
HGIC,1540000000,1706
NNBR,146090000,1829
LWAY,147500000,315
HAYN,777830000,1057
ZGNX,150580000,161
NEBS,58590000,121
SHFL,781190000,740
KIRK,312560000,3948
SLTC,12020000,51
KERX,262779999,28
FNBN,292600000,462
HOFT,129970000,688
NECB,78540000,85
IPCC,629210000,1900
CSRE,748200000,2945
UBFO,30990000,132
BLL,6220000000,15000
BLK,35350000000,10100
FISI,208890000,600
SHEN,240240000,589
CVLT,2250000000,1268
CORE,446780000,4399
KMX,7310000000,15565
GNMK,84980000,79
SAAS,225940000,330
GTIM,3730000,63
SABA,348780000,735
WSFS,324470000,767
VIFL,19190000,13
FSGI,5030000,318
TAST,263230000,16300
BMC,6090000000,6200
TRV,22790000000,30000
WWVY,80490000,96
FITB,12520000000,21334
IPAR,495340000,271
QCRH,46870000,355
SCSC,986800000,1370
PPHM,82050000,154
FMC,6980000000,5000
TSN,7170000000,115000
BMS,3240000000,20000
TST,56980000,291
TINY,126170000,10
TESS,139870000,874
KITD,448170000,720
FSFG,38430000,139
CORT,339450000,19
APWC,47710000,1704
TATT,38700000,584
ZIOP,316910000,32
UNXL,36710000,14
FNGN,1000000000,355
KSW,23870000,38
CSPI,12870000,138
FSIN,304490000,649
ALXA,45810000,97
SNFCA,12850000,607
HAUP,13060000,146
EVOL,58800000,248
OSBC,17260000,492
COOL,103970000,85
FSII,156030000,354
HOKU,39800000,129
VIDE,42670000,310
ZION,3480000000,10524
FNFG,2930000000,4827
PBIB,21100000,291
RRST,72850000,274
KUTV,119470000,816
ALL,15570000000,37000
EMKR,95260000,1000
OSN,20710000,238
ALXN,15860000000,1008
XATA,14890000,210
PBIO,4170000,14
PBIP,51220000,66
SAIA,251030000,7900
WSCI,15090000,76
OSH,144430000,1925
SAFT,642670000,581
HAST,16010000,1889
SAFM,1140000000,11333
WETF,811200000,65
XOM,406890000000,82100
COMV,34900000,546
VIAS,375900000,14099
QCOR,2490000000,206
APH,9180000000,39100
TITN,534870000,1596
QCOM,105600000000,21200
WSBF,71780000,595
APD,19350000000,18500
NDSN,3550000000,4094
SCON,31480000,79
SCOK,61160000,689
QKLS,21940000,6082
WSBC,504350000,1368
HOLI,547170000,3106
HOLL,25500000,120
PFIN,14820000,133
KEYN,347480000,352
CFNB,154840000,154
HOME,141810000,395
EMMS,26770000,870
EDUC,19540000,70
DUSA,115850000,93
CONN,434820000,2600
CCXI,364530000,64
TISA,34190000,127
KEYW,181940000,827
SCOR,730530000,1012
VIAB,26210000000,10580
HOLX,5390000000,5019
TWMC,77060000,1800
NWBI,1200000000,1950
CMVT,1330000000,5900
SYY,17160000000,46000
ALRN,6350000,16
MALL,68860000,2562
EONC,4650000,86
LAKE,52300000,1840
CJJD,16910000,533
SINO,7490000,51
SYK,20270000000,21241
MRLN,175520000,242
HCBK,3380000000,1586
TELK,8840000,28
HIG,8990000000,24400
BWEN,88030000,850
FONR,11800000,214
CVS,58650000000,202000
CVV,69470000,128
ESMC,7680000,158
CVX,216700000000,61000
EGLE,93990000,800
OPAY,87030000,223
ALTI,44450000,106
ESLT,1580000000,12317
CRIC,785570000,3712
RPTP,337280000,12
RRGB,508610000,22302
RDEN,1030000000,2260
RPRX,49020000,13
ALSK,151000000,806
SQNM,409280000,237
RDEA,563300000,77
