								
"AAC"	9.78	"2/28/2012"	"11:08am"	0	"N/A"	"N/A"	"N/A"	0
"AACC"	4.84	"3/2/2012"	"4:00pm"	0.195	4.88	4.97	4.64	20642
"AAWW"	42.3	"3/2/2012"	"4:00pm"	-1.19	43	43.47	41.9	242152
"ABIO"	0.97	"3/2/2012"	"3:59pm"	-0.0105	0.96	1	0.9502	126826
"ACFN"	8.14	"3/2/2012"	"4:00pm"	-0.13	8.28	8.4	8.08	134378
"ACGL"	36.96	"3/2/2012"	"4:00pm"	-0.63	37.4	37.6113	36.78	558763
"AEPI"	33.64	"3/2/2012"	"4:00pm"	-1.05	34.41	35.02	33.21	20892
"AEY"	2.34	"3/2/2012"	"3:48pm"	0.05	2.34	2.34	2.25	11355
"AGYS"	8.06	"3/2/2012"	"4:00pm"	0.04	7.96	8.22	7.91	202089
"ALGN"	25.99	"3/2/2012"	"4:00pm"	-0.19	26.19	26.48	25.94	924435
"ALIM"	3.78	"3/2/2012"	"4:00pm"	-0.02	3.77	3.89	3.67	291112
"ALRN"	1.29	"3/2/2012"	"9:30am"	0.07	1.29	1.29	1.29	120
"AMKR"	6.25	"3/2/2012"	"4:00pm"	-0.105	6.38	6.44	6.19	1544309
"AMTD"	18.61	"3/2/2012"	"4:00pm"	-0.22	18.85	18.9	18.53	2350666
"ANCI"	0.5	"3/1/2012"	"3:59pm"	0	"N/A"	"N/A"	"N/A"	0
"ANNB"	5.05	"3/1/2012"	"3:26pm"	0	"N/A"	"N/A"	"N/A"	0
"APSA"	18.7799	"3/2/2012"	"2:08pm"	-0.1201	18.79	19	18.5	5300
"ARLP"	71.71	"3/2/2012"	"4:00pm"	-1.14	72.56	73.38	71.62	79147
"ARUN"	21.81	"3/2/2012"	"4:00pm"	-0.07	21.75	22.13	21.66	1821258
"ASBI"	5.1	"3/2/2012"	"3:47pm"	0.19	4.98	5.1	4.98	3897
"ASCMA"	47.82	"3/2/2012"	"4:00pm"	0.14	47.73	48.53	47.5	110372
