word,relative freq (lyrics / general usage),general usage absolute freq,pop lyrics absolute freq
"um",0.003597552464956449,21907,1
"10",0.00784741430347515,10043,1
"don",0.010110962433689821,23384,3
"during",0.010174487716214941,7746,1
"also",0.011126864584187622,21249,3
"president",0.01165162357329996,6764,1
"states",0.012002982310356522,6566,1
"several",0.013953891970573819,5648,1
"important",0.01426195835139358,5526,1
"example",0.014600144840644855,5398,1
"among",0.014830933731614777,5314,1
"using",0.014968961414966939,10530,2
"11",0.01619637933616953,4866,1
"legal",0.016323857052568544,4828,1
"levels",0.01705509237173792,4621,1
"cells",0.017612838613632508,13424,3
"15",0.017615463086678794,4474,1
"genes",0.017889361445874687,8811,2
"effect",0.018635985303807265,4229,1
"30",0.018644802897989338,4227,1
"information",0.018822923775925707,8374,2
"proteins",0.01886347100282454,4178,1
"area",0.019009064604389996,4146,1
"order",0.02042279913184787,3859,1
"service",0.02096052708771301,3760,1
"cost",0.021352365713844735,3691,1
"post",0.022107035581991848,3565,1
"following",0.022903685512874434,3441,1
"center",0.022937014508091075,3436,1
"political",0.022970440644069053,3431,1
"process",0.023667141696636914,3330,1
"mm",0.024005964620713045,3283,1
"16",0.02403524911552331,3279,1
"et",0.024064605144977384,3275,1
"per",0.024369691357390515,3234,1
"local",0.024736843016258923,3186,1
"value",0.025243940374696006,3122,1
"especially",0.025414892566849704,3101,1
"form",0.025439503502195267,3098,1
"century",0.025959019054611638,3036,1
"tax",0.027008766912200458,2918,1
"public",0.027355634102673002,5762,2
"members",0.027365132586736434,2880,1
"20",0.027474841153843795,5737,2
"performed",0.027672605986587405,2848,1
"therefore",0.027682325904390914,2847,1
"disease",0.02776033175406866,2839,1
"issue",0.028086807501710952,2806,1
"recently",0.028596364967271744,2756,1
"which",0.028968068979443654,29927,11
"financial",0.029167868930348236,2702,1
"idea",0.02936348056997054,2684,1
"due",0.03060643955332075,2575,1
"art",0.03083395221040725,2556,1
"campaign",0.03223377580768954,2445,1
"complex",0.032715476068825626,2409,1
"amount",0.03347985635080753,2354,1
"domain",0.03347985635080753,2354,1
"conditions",0.033665776099872244,2341,1
"structure",0.0337233983097137,2337,1
"private",0.03381020242376702,2331,1
"court",0.03381020242376702,2331,1
"texas",0.03443057311044165,2289,1
"papers",0.03456648326745655,2280,1
"military",0.03505853285133493,2248,1
"general",0.0351132019825355,4489,2
"determined",0.03523092617335759,2237,1
"2000",0.03556479325352028,2216,1
"parents",0.036036388591587074,2187,1
"based",0.03618529928824652,4356,2
"determine",0.03658847811039969,2154,1
"education",0.036862292726754405,2138,1
"books",0.036862292726754405,2138,1
"file",0.03705292987766852,2127,1
"expression",0.039063981090359814,8070,4
"published",0.0399045984049625,1975,1
"level",0.03997544095855994,3943,2
"access",0.040374785783709496,1952,1
"percent",0.04070846169927734,5808,3
"volume",0.041241016143276264,1911,1
"support",0.04175448045022566,3775,2
"island",0.04185426545395695,1883,1
"models",0.04189876759691703,1881,1
"despite",0.04246313677252205,1856,1
