"code","name","parent code"
"stat",,
"stat.ML","Machine Learning","stat"
"stat.CO","Computation","stat"
"math",,
"math.ST","Statistics Theory","math"
"math.PR","Probability","math"
"stat.ME","Methodology","stat"
"stat.AP","Applications","stat"
"astro-ph",,
"astro-ph.IM","Instrumentation and Methods for Astrophysics","astro-ph"
"astro-ph.GA","Galaxy Astrophysics","astro-ph"
"astro-ph.SR","Solar and Stellar Astrophysics","astro-ph"
"cs",,
"cs.NE","Neural and Evolutionary Computing","cs"
"cond-mat",,
"cond-mat.stat-mech","Statistical Mechanics","cond-mat"
"math.CA","Classical Analysis and ODEs","math"
"cs.IT","Information Theory","cs"
"q-bio",,
"q-bio.GN","Genomics","q-bio"
"q-bio.MN","Molecular Networks","q-bio"
"math.AC","Commutative Algebra","math"
"physics",,
"physics.soc-ph","Physics and Society","physics"
"math.NA","Numerical Analysis","math"
"math.AG","Algebraic Geometry","math"
"math.DS","Dynamical Systems","math"
"math.CO","Combinatorics","math"
"cs.AI","Artificial Intelligence","cs"
"math.SP","Spectral Theory","math"
"cs.LG","Learning","cs"
"q-fin",,
"q-fin.PR","Pricing of Securities","q-fin"
"cs.CV","Computer Vision and Pattern Recognition","cs"
"astro-ph.EP","Earth and Planetary Astrophysics","astro-ph"
"q-bio.QM","Quantitative Methods","q-bio"
"q-bio.BM","Biomolecules","q-bio"
"math-ph","Mathematical Physics",
"math.FA","Functional Analysis","math"
"math.OC","Optimization and Control","math"
"cond-mat.dis-nn","Disordered Systems and Neural Networks","cond-mat"
"q-fin.ST","Statistical Finance","q-fin"
"q-bio.NC","Neurons and Cognition","q-bio"
"physics.med-ph","Medical Physics","physics"
"physics.data-an","Data Analysis, Statistics and Probability","physics"
"math.HO","History and Overview","math"
"nlin",,
"nlin.CD","Chaotic Dynamics","nlin"
"q-bio.PE","Populations and Evolution","q-bio"
"cs.NI","Networking and Internet Architecture","cs"
"cs.PF","Performance","cs"
"nlin.AO","Adaptation and Self-Organizing Systems","nlin"
"cs.CE","Computational Engineering, Finance, and Science","cs"
"cs.DS","Data Structures and Algorithms","cs"
"math.GM","General Mathematics","math"
"cond-mat.str-el","Strongly Correlated Electrons","cond-mat"
"quant-ph","Quantum Physics",
"q-fin.GN","General Finance","q-fin"
"cs.SY","Systems and Control","cs"
"q-fin.RM","Risk Management","q-fin"
"cond-mat.supr-con","Superconductivity","cond-mat"
"q-fin.CP","Computational Finance","q-fin"
"math.MG","Metric Geometry","math"
"hep-ex","High Energy Physics - Experiment",
"hep-ph","High Energy Physics - Phenomenology",
"physics.comp-ph","Computational Physics","physics"
"math.DG","Differential Geometry","math"
"physics.chem-ph","Chemical Physics","physics"
"physics.atm-clus","Atomic and Molecular Clusters","physics"
"physics.ao-ph","Atmospheric and Oceanic Physics","physics"
"astro-ph.CO","Cosmology and Extragalactic Astrophysics","astro-ph"
"cs.HC","Human-Computer Interaction","cs"
"cs.CR","Cryptography and Security","cs"
"physics.ins-det","Instrumentation and Detectors","physics"
"cs.DB","Databases","cs"
"q-fin.PM","Portfolio Management","q-fin"
"physics.bio-ph","Biological Physics","physics"
"math.AT","Algebraic Topology","math"
"cs.CL","Computation and Language","cs"
"physics.class-ph","Classical Physics","physics"
"cs.CY","Computers and Society","cs"
"cs.DL","Digital Libraries","cs"
"cond-mat.mes-hall","Mesoscale and Nanoscale Physics","cond-mat"
"cs.RO","Robotics","cs"
"cs.MM","Multimedia","cs"
"math.KT","K-Theory and Homology","math"
"cs.CG","Computational Geometry","cs"
"math.GT","Geometric Topology","math"
"physics.optics","Optics","physics"
"gr-qc","General Relativity and Quantum Cosmology",
"cs.DM","Discrete Mathematics","cs"
"cond-mat.other","Other Condensed Matter","cond-mat"
"math.NT","Number Theory","math"
"nlin.PS","Pattern Formation and Solitons","nlin"
"physics.geo-ph","Geophysics","physics"
"hep-th","High Energy Physics - Theory",
"cs.SE","Software Engineering","cs"
"cs.SI","Social and Information Networks","cs"
"math.RT","Representation Theory","math"
"cs.LO","Logic in Computer Science","cs"
"cond-mat.mtrl-sci","Materials Science","cond-mat"
"physics.ed-ph","Physics Education","physics"
"cs.NA","Numerical Analysis","cs"
"q-fin.TR","Trading and Market Microstructure","q-fin"
"math.LO","Logic","math"
"math.OA","Operator Algebras","math"
"cs.MS","Mathematical Software","cs"
